id,address_id,confidence,match_type
none-withers-street-unit-2a-brooklyn-ny-11211,195,1.0,fuzzy
none-465-humboldt-street-none-williamsburg-ny-11211,26439,1.0,exact
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211,128,1.0,fuzzy
none-251-253-north-8th-street-none-brooklyn-ny-11211,94,1.0,fuzzy
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211,128,1.0,fuzzy
none-242-south-1st-street-unit-4e-brooklyn-ny-11211,853,1.0,exact
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,152,1.0,fuzzy
none-277-south-2nd-street-none-brooklyn-ny-11211,28,1.0,fuzzy
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211,29480,1.0,exact
none-13-conselyea-street-none-brooklyn-ny-11211,35,1.0,fuzzy
none-withers-street-unit-2-brooklyn-ny-11211,195,1.0,fuzzy
none-323-south-5th-street-unit-2-brooklyn-ny-11211,3189,1.0,exact
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211,41,1.0,fuzzy
none-skillman-avenue-unit-4f-brooklyn-ny-11211,78,1.0,fuzzy
none-bushwick-avenue-unit-8b-brooklyn-ny-11211,128,1.0,fuzzy
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,7666,1.0,exact
none-323-south-5th-street-unit-1-brooklyn-ny-11211,3189,1.0,exact
none-679-lorimer-street-none-brooklyn-ny-11211,7705,1.0,exact
none-skillman-avenue-unit-3-brooklyn-ny-11211,78,1.0,fuzzy
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211,38,1.0,fuzzy
none-211-jackson-street-unit-garden-brooklyn-ny-11211,14387,1.0,exact
none-bayard-street-unit-3g-brooklyn-ny-11211,161,1.0,fuzzy
none-30-bushwick-avenue-unit-7a-brooklyn-ny-11211,128,1.0,fuzzy
none-76-roebling-street-unit-4b-brooklyn-ny-11211,1468,1.0,exact
none-south-5th-street-unit-3-brooklyn-ny-11211,16,1.0,fuzzy
none-30-bayard-street-unit-1a-brooklyn-ny-11211,3242,1.0,exact
none-north-11th-street-unit-1l-brooklyn-ny-11211,222,1.0,fuzzy
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,152,1.0,fuzzy
none-165-north-10th-street-unit-3a-brooklyn-ny-11211,3899,1.0,exact
none-171-north-1st-street-unit-3a-brooklyn-ny-11211,45,1.0,exact
none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,82,1.0,exact
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,152,1.0,fuzzy
none-171-north-1st-street-unit-3c-brooklyn-ny-11211,45,1.0,exact
none-549-metropolitan-avenue-unit-a-williamsburg-ny-11211,22585,1.0,exact
none-76-richardson-street-unit-7-williamsburg-ny-11211,67,1.0,exact
none-conselyea-street-unit-2-brooklyn-ny-11211,35,1.0,fuzzy
none-139-skillman-avenue-unit-9ab-brooklyn-ny-11211,82,1.0,exact
none-bushwick-avenue-unit-5b-brooklyn-ny-11211,128,1.0,fuzzy
none-108-division-avenue-unit-12a-brooklyn-ny-11211,1200,1.0,exact
none-256-withers-street-unit-6fam-brooklyn-ny-11211,940,1.0,exact
none-179-jackson-street-unit-5-brooklyn-ny-11211,17426,1.0,exact
none-north-7th-street-unit-phb-brooklyn-ny-11211,251,1.0,fuzzy
none-manhattan-avenue-unit-2-brooklyn-ny-11211,152,1.0,fuzzy
none-hope-street-unit-pha-brooklyn-ny-11211,17,1.0,fuzzy
none-15-roebling-street-unit-4a-brooklyn-ny-11211,1019,1.0,exact
none-444-humboldt-street-unit-2-brooklyn-ny-11211,11937,1.0,exact
none-237-withers-street-none-brooklyn-ny-11211,5012,1.0,exact
none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,6,1.0,exact
none-432-grand-street-unit-201-brooklyn-ny-11211,468,1.0,exact
none-50-bayard-street-unit-2g-brooklyn-ny-11211,344,1.0,exact
none-224-north-6th-street-unit-2r-brooklyn-ny-11211,41,1.0,fuzzy
none-305-union-avenue-unit-4d-5d-brooklyn-ny-11211,4412,1.0,exact
none-305-union-avenue-unit-5c-brooklyn-ny-11211,4412,1.0,exact
none-179-jackson-street-unit-5a-brooklyn-ny-11211,17426,1.0,exact
none-284-manhattan-avenue-none-brooklyn-ny-11211,13511,1.0,exact
none-50-bayard-street-unit-3j-brooklyn-ny-11211,344,1.0,exact
none-229-withers-street-unit-3b-brooklyn-ny-11211,195,1.0,fuzzy
none-bayard-street-unit-2g-brooklyn-ny-11211,161,1.0,fuzzy
none-roebling-street-unit-4b-brooklyn-ny-11211,30,1.0,fuzzy
none-201-north-11th-street-unit-ph-brooklyn-ny-11211,9298,1.0,exact
none-devoe-street-unit-na-brooklyn-ny-11211,64,1.0,fuzzy
none-north-6th-street-unit-1-brooklyn-ny-11211,41,1.0,fuzzy
none-jackson-street-unit-1b-brooklyn-ny-11211,22,1.0,fuzzy
none-74-jackson-street-unit-5-brooklyn-ny-11211,22,1.0,fuzzy
none-union-avenue-unit-4d-5d-brooklyn-ny-11211,2,1.0,fuzzy
none-170-south-4th-street-none-brooklyn-ny-11211,13,1.0,fuzzy
none-south-4th-street-unit-4a-brooklyn-ny-11211,13,1.0,fuzzy
none-north-10th-street-unit-3a-brooklyn-ny-11211,437,1.0,fuzzy
none-467-bedford-avenue-unit-6-brooklyn-ny-11211,52,1.0,fuzzy
none-147-hope-street-unit-3a-brooklyn-ny-11211,526,1.0,exact
none-174-jackson-street-unit-2a-brooklyn-ny-11211,506,1.0,exact
none-withers-street-unit-5e-brooklyn-ny-11211,195,1.0,fuzzy
none-bushwick-avenue-unit-2b-brooklyn-ny-11211,128,1.0,fuzzy
none-devoe-street-none-brooklyn-ny-11211,64,1.0,fuzzy
none-308-north-7th-street-unit-4d-brooklyn-ny-11211,873,1.0,exact
none-705-driggs-avenue-unit-13-brooklyn-ny-11211,79,1.0,exact
none-131-jackson-street-unit-phb-brooklyn-ny-11211,2186,1.0,exact
none-154-south-3rd-street-unit-24-brooklyn-ny-11211,763,1.0,exact
none-74-jackson-street-unit-1-brooklyn-ny-11211,22,1.0,fuzzy
none-177-hooper-street-none-brooklyn-ny-11211,970,1.0,exact
none-withers-street-unit-ph3-brooklyn-ny-11211,195,1.0,fuzzy
none-179-woodpoint-road-unit-2c-brooklyn-ny-11211,442,1.0,exact
none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,5863,1.0,exact
none-264-north-9th-street-none-brooklyn-ny-11211,26058,1.0,exact
none-218-north-5th-street-none-brooklyn-ny-11211,16,1.0,fuzzy
none-30-bayard-street-unit-5f-brooklyn-ny-11211,3242,1.0,exact
none-512-lorimer-street-none-brooklyn-ny-11211,21546,1.0,exact
none-bayard-street-unit-2d-brooklyn-ny-11211,161,1.0,fuzzy
none-jackson-street-unit-2-brooklyn-ny-11211,22,1.0,fuzzy
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,152,1.0,fuzzy
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,152,1.0,fuzzy
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,8386,1.0,exact
none-manhattan-avenue-none-brooklyn-ny-11211,152,1.0,fuzzy
none-division-avenue-unit-16-brooklyn-ny-11211,1,1.0,fuzzy
none-skillman-avenue-unit-1a-brooklyn-ny-11211,78,1.0,fuzzy
none-bushwick-avenue-unit-7b-brooklyn-ny-11211,128,1.0,fuzzy
none-north-11th-street-unit-4w-brooklyn-ny-11211,222,1.0,fuzzy
none-havemeyer-street-unit-6a-brooklyn-ny-11211,24,1.0,fuzzy
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,9722,1.0,exact
none-128-woodpoint-road-unit-5-brooklyn-ny-11211,3958,1.0,exact
none-153-south-4th-street-unit-5-williamsburg-ny-11211,6796,1.0,exact
none-north-6th-street-unit-3-brooklyn-ny-11211,41,1.0,fuzzy
none-conselyea-street-unit-1-brooklyn-ny-11211,35,1.0,fuzzy
none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,6844,1.0,exact
none-30-bushwick-avenue-unit-6b-brooklyn-ny-11211,128,1.0,fuzzy
none-215-north-10th-street-unit-pha-brooklyn-ny-11211,1588,1.0,exact
none-237-ainslie-street-none-brooklyn-ny-11211,19437,1.0,exact
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,82,1.0,exact
none-south-5th-street-unit-c1-brooklyn-ny-11211,16,1.0,fuzzy
none-union-avenue-unit-3c-brooklyn-ny-11211,2,1.0,fuzzy
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,128,1.0,fuzzy
none-323-south-5th-street-unit-3-brooklyn-ny-11211,3189,1.0,exact
none-bushwick-avenue-unit-4b-brooklyn-ny-11211,128,1.0,fuzzy
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,128,1.0,fuzzy
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,1880,1.0,exact
none-roebling-street-unit-1-brooklyn-ny-11211,30,1.0,fuzzy
none-skillman-avenue-unit-2-brooklyn-ny-11211-0,78,1.0,fuzzy
none-88-withers-street-unit-5e-brooklyn-ny-11211,537,1.0,exact
none-70-conselyea-street-none-brooklyn-ny-11211,35,1.0,fuzzy
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,38,1.0,exact
none-217-north-11th-street-unit-1-brooklyn-ny-11211,1676,1.0,exact
none-217-219-devoe-street-none-brooklyn-ny-11211,64,1.0,fuzzy
none-222-withers-street-unit-2a-brooklyn-ny-11211,2171,1.0,exact
none-north-6th-street-unit-2r-brooklyn-ny-11211,41,1.0,fuzzy
none-191-withers-street-unit-1r-brooklyn-ny-11211,9515,1.0,exact
none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,9722,1.0,exact
none-2-bayard-street-unit-2d-brooklyn-ny-11211,2941,1.0,exact
none-150-north-5th-street-unit-3j-brooklyn-ny-11211,1845,1.0,exact
none-north-8th-street-none-brooklyn-ny-11211,94,1.0,fuzzy
none-74-jackson-street-unit-garden-brooklyn-ny-11211,22,1.0,fuzzy
none-jackson-street-unit-5-brooklyn-ny-11211,22,1.0,fuzzy
none-88-withers-street-unit-ph3-brooklyn-ny-11211,537,1.0,exact
none-devoe-street-unit-2r-brooklyn-ny-11211,64,1.0,fuzzy
none-havemeyer-street-none-brooklyn-ny-11211-0,24,1.0,fuzzy
none-havemeyer-street-none-brooklyn-ny-11211,24,1.0,fuzzy
none-jackson-street-unit-3b-brooklyn-ny-11211,22,1.0,fuzzy
none-north-8th-street-unit-ph-brooklyn-ny-11211,94,1.0,fuzzy
none-684-lorimer-street-none-brooklyn-ny-11211,12139,1.0,exact
none-30-bushwick-avenue-unit-5c-brooklyn-ny-11211,128,1.0,fuzzy
none-590-lorimer-street-unit-1-brooklyn-ny-11211,15947,1.0,exact
none-270-south-2nd-street-none-brooklyn-ny-11211,1294,1.0,exact
none-128-woodpoint-road-unit-2-brooklyn-ny-11211,3958,1.0,exact
none-135-jackson-street-unit-1b-brooklyn-ny-11211,5029,1.0,exact
none-390-manhattan-avenue-unit-ph-brooklyn-ny-11211,152,1.0,fuzzy
none-390-manhattan-avenue-unit-2-brooklyn-ny-11211,152,1.0,fuzzy
none-union-avenue-unit-5c-brooklyn-ny-11211,2,1.0,fuzzy
none-30-bushwick-avenue-unit-2a-brooklyn-ny-11211,128,1.0,fuzzy
none-bedford-avenue-unit-8-brooklyn-ny-11211,52,1.0,fuzzy
none-96-roebling-street-none-brooklyn-ny-11211,30,1.0,fuzzy
none-212-north-9th-street-unit-3c-brooklyn-ny-11211,2581,1.0,exact
none-170-north-11th-street-unit-3d-brooklyn-ny-11211,2549,1.0,exact
none-74-jackson-street-unit-3a-brooklyn-ny-11211,22,1.0,fuzzy
none-20-bayard-street-unit-11b-brooklyn-ny-11211,161,1.0,exact
none-976-metropolitan-avenue-unit-1b-brooklyn-ny-11211,27416,1.0,exact
none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,1902,1.0,exact
none-214-north-11th-street-unit-1l-brooklyn-ny-11211,222,1.0,exact
none-360-south-3rd-street-none-brooklyn-ny-11211,8082,1.0,exact
none-176-south-4th-street-unit-4a-brooklyn-ny-11211,801,1.0,exact
none-339-bedford-avenue-unit-8-brooklyn-ny-11211,994,1.0,exact
none-185-withers-street-unit-4-brooklyn-ny-11211,195,1.0,fuzzy
none-190-south-1st-street-unit-4b-brooklyn-ny-11211,1880,1.0,exact
none-185-withers-street-unit-3-brooklyn-ny-11211,195,1.0,fuzzy
none-185-withers-street-unit-2-brooklyn-ny-11211,195,1.0,fuzzy
none-476-union-avenue-unit-4bb-brooklyn-ny-11211,5863,1.0,exact
none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,82,1.0,exact
none-185-withers-street-unit-1-brooklyn-ny-11211,195,1.0,fuzzy
none-jackson-street-unit-3-brooklyn-ny-11211,22,1.0,fuzzy
none-woodpoint-road-unit-3-brooklyn-ny-11211,442,1.0,fuzzy
none-bayard-street-unit-3b-brooklyn-ny-11211,161,1.0,fuzzy
none-jackson-street-unit-4-brooklyn-ny-11211,22,1.0,fuzzy
none-skillman-avenue-unit-2-brooklyn-ny-11211,78,1.0,fuzzy
none-north-11th-street-unit-5r-brooklyn-ny-11211,222,1.0,fuzzy
none-woodpoint-road-unit-1-brooklyn-ny-11211,442,1.0,fuzzy
none-south-5th-street-unit-2-brooklyn-ny-11211,16,1.0,fuzzy
none-181-jackson-street-unit-ph-brooklyn-ny-11211,15521,1.0,exact
none-149-conselyea-street-unit-4a-brooklyn-ny-11211,229,1.0,exact
none-719-grand-street-none-brooklyn-ny-11211,10,1.0,fuzzy
none-171-north-1st-street-unit-5b-brooklyn-ny-11211,45,1.0,exact
none-323-south-5th-street-unit-4-brooklyn-ny-11211,3189,1.0,exact
none-234-powers-street-none-brooklyn-ny-11211,8940,1.0,exact
none-329-grand-street-none-brooklyn-ny-11211,1282,1.0,exact
none-80-roebling-street-unit-1-brooklyn-ny-11211,632,1.0,exact
none-237-devoe-street-unit-1r-brooklyn-ny-11211,1985,1.0,exact
none-296-manhattan-avenue-none-brooklyn-ny-11211,7473,1.0,exact
none-1-powers-street-unit-602-brooklyn-ny-11211,178,1.0,exact
none-392-graham-avenue-unit-3b-brooklyn-ny-11211,9334,1.0,exact
none-108-jackson-street-unit-1a-brooklyn-ny-11211,923,1.0,exact
none-50-bayard-street-unit-3n-brooklyn-ny-11211,344,1.0,exact
none-532-lorimer-street-unit-1b-williamsburg-ny-11211,4391,1.0,exact
none-207-north-8th-street-unit-ph-brooklyn-ny-11211,12118,1.0,exact
none-183-south-2nd-street-none-brooklyn-ny-11211,28,1.0,fuzzy
none-grand-street-none-brooklyn-ny-11211,10,1.0,fuzzy
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211,7148,1.0,exact
none-108-withers-street-none-brooklyn-ny-11211,1572,1.0,exact
none-390-broadway-none-williamsburg-ny-11211,194,1.0,fuzzy
none-18-orient-avenue-none-brooklyn-ny-11211,100,1.0,fuzzy
none-south-8th-street-unit-1a-brooklyn-ny-11211-0,94,1.0,fuzzy
none-446-humboldt-street-none-brooklyn-ny-11211-0,14296,1.0,exact
none-1-powers-street-unit-602-brooklyn-ny-11211-0,178,1.0,exact
none-150-north-5th-street-unit-1h-brooklyn-ny-11211,1845,1.0,exact
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211-0,1902,1.0,exact
none-128-woodpoint-road-unit-2-brooklyn-ny-11211-0,3958,1.0,exact
none-108-withers-street-none-brooklyn-ny-11211-0,1572,1.0,exact
none-323-south-5th-street-unit-4-brooklyn-ny-11211-0,3189,1.0,exact
none-139-skillman-avenue-unit-7a-brooklyn-ny-11211,82,1.0,exact
none-145-conselyea-street-none-brooklyn-ny-11211,35,1.0,fuzzy
none-30-devoe-street-unit-2b-brooklyn-ny-11211-0,5016,1.0,exact
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211-0,8386,1.0,exact
none-maspeth-avenue-unit-2d-brooklyn-ny-11211,6,1.0,fuzzy
none-union-avenue-unit-206-brooklyn-ny-11211,2,1.0,fuzzy
none-skillman-avenue-unit-1-brooklyn-ny-11211,78,1.0,fuzzy
none-207-north-8th-street-unit-ph-brooklyn-ny-11211-0,12118,1.0,exact
none-150-north-5th-street-unit-1h-brooklyn-ny-11211-0,1845,1.0,exact
none-308-north-7th-street-unit-phb-brooklyn-ny-11211,873,1.0,exact
none-25-conselyea-street-unit-2-brooklyn-ny-11211,26252,1.0,exact
none-38-devoe-street-none-brooklyn-ny-11211,64,1.0,fuzzy
none-234-powers-street-unit-6-williamsburg-ny-11211,8940,1.0,exact
none-311-leonard-street-none-brooklyn-ny-11211,8565,1.0,exact
none-76-richardson-street-unit-7-brooklyn-ny-11211,67,1.0,exact
none-739-grand-street-none-brooklyn-ny-11211,9405,1.0,exact
none-38-skillman-avenue-unit-1-brooklyn-ny-11211,26699,1.0,exact
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211,152,1.0,fuzzy
none-230-south-2nd-street-none-williamsburg-ny-11211,9922,1.0,exact
none-156-devoe-street-unit-1f-brooklyn-ny-11211,409,1.0,exact
none-170-south-1st-street-unit-2b-brooklyn-ny-11211,1258,1.0,exact
none-239-jackson-street-none-brooklyn-ny-11211,20986,1.0,exact
none-south-5th-street-unit-2-brooklyn-ny-11211-0,16,1.0,fuzzy
none-296-manhattan-avenue-none-brooklyn-ny-11211-0,7473,1.0,exact
none-174-north-6th-street-unit-town-brooklyn-ny-11211,41,1.0,fuzzy
none-229-withers-street-unit-2d-brooklyn-ny-11211,195,1.0,fuzzy
none-229-withers-street-unit-2b-brooklyn-ny-11211,195,1.0,fuzzy
none-128-woodpoint-road-unit-1-brooklyn-ny-11211,3958,1.0,exact
none-30-devoe-street-unit-2b-brooklyn-ny-11211,5016,1.0,exact
none-jackson-street-unit-ph-brooklyn-ny-11211,22,1.0,fuzzy
none-240-powers-street-unit-6-brooklyn-ny-11211,593,1.0,exact
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211-0,7148,1.0,exact
none-526-union-avenue-unit-206-brooklyn-ny-11211-0,3419,1.0,exact
none-woodpoint-road-unit-5-brooklyn-ny-11211,442,1.0,fuzzy
none-710-metropolitan-avenue-unit-5h-brooklyn-ny-11211,1464,1.0,exact
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211-0,152,1.0,fuzzy
none-171-north-1st-street-unit-4k-brooklyn-ny-11211,45,1.0,exact
none-139-jackson-street-unit-1b-brooklyn-ny-11211,5549,1.0,exact
none-north-8th-street-none-brooklyn-ny-11211-0,94,1.0,fuzzy
none-38-skillman-avenue-unit-1-brooklyn-ny-11211-0,26699,1.0,exact
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211-0,9722,1.0,exact
none-390-broadway-none-brooklyn-ny-11211,194,1.0,fuzzy
none-72-richardson-street-unit-19-brooklyn-ny-11211-0,246,1.0,exact
none-390-broadway-none-williamsburg-ny-11211-0,194,1.0,fuzzy
none-135-jackson-street-unit-1b-brooklyn-ny-11211-0,5029,1.0,exact
none-bayard-street-unit-3g-brooklyn-ny-11211-0,161,1.0,fuzzy
none-north-11th-street-unit-5r-brooklyn-ny-11211-0,222,1.0,fuzzy
none-manhattan-avenue-none-brooklyn-ny-11211-0,152,1.0,fuzzy
none-684-lorimer-street-none-brooklyn-ny-11211-0,12139,1.0,exact
none-manhattan-avenue-unit-3f-brooklyn-ny-11211-0,152,1.0,fuzzy
none-25-conselyea-street-unit-1-brooklyn-ny-11211,26252,1.0,exact
none-bushwick-avenue-unit-7b-brooklyn-ny-11211-0,128,1.0,fuzzy
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211,1902,1.0,exact
none-446-humboldt-street-none-brooklyn-ny-11211,14296,1.0,exact
none-183-south-2nd-street-none-williamsburg-ny-11211,28,1.0,fuzzy
none-415-bedford-avenue-unit-23a-brooklyn-ny-11211,2772,1.0,exact
none-88-withers-street-unit-7d-brooklyn-ny-11211,537,1.0,exact
none-171-north-1st-street-unit-3k-brooklyn-ny-11211,45,1.0,exact
none-360-south-3rd-street-none-brooklyn-ny-11211-0,8082,1.0,exact
none-devoe-street-none-brooklyn-ny-11211-0,64,1.0,fuzzy
none-skillman-avenue-unit-4f-brooklyn-ny-11211-0,78,1.0,fuzzy
none-80-roebling-street-unit-1-brooklyn-ny-11211-0,632,1.0,exact
none-250-manhattan-avenue-unit-4r-brooklyn-ny-11211,152,1.0,fuzzy
none-maspeth-avenue-unit-2d-brooklyn-ny-11211-0,6,1.0,fuzzy
none-bayard-street-unit-3b-brooklyn-ny-11211-0,161,1.0,fuzzy
none-224-north-6th-street-unit-1-brooklyn-ny-11211,41,1.0,fuzzy
none-bushwick-avenue-unit-5a-brooklyn-ny-11211,128,1.0,fuzzy
none-980-metropolitan-avenue-none-williamsburg-ny-11211,16946,1.0,exact
none-72-richardson-street-unit-19-brooklyn-ny-11211,246,1.0,exact
none-526-union-avenue-unit-206-brooklyn-ny-11211,3419,1.0,exact
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211,22585,1.0,exact
none-224-north-6th-street-unit-3-brooklyn-ny-11211,41,1.0,fuzzy
none-south-8th-street-unit-1a-brooklyn-ny-11211,94,1.0,fuzzy
none-woodpoint-road-unit-1-brooklyn-ny-11211-0,442,1.0,fuzzy
none-skillman-avenue-unit-1a-brooklyn-ny-11211-0,78,1.0,fuzzy
none-170-south-1st-street-unit-2b-brooklyn-ny-11211-0,1258,1.0,exact
none-237-devoe-street-unit-1r-brooklyn-ny-11211-0,1985,1.0,exact
none-156-devoe-street-unit-1f-brooklyn-ny-11211-0,409,1.0,exact
none-230-south-2nd-street-none-brooklyn-ny-11211,9922,1.0,exact
none-100-maspeth-avenue-unit-7c-brooklyn-ny-11211,6,1.0,exact
none-bushwick-avenue-unit-2b-brooklyn-ny-11211-0,128,1.0,fuzzy
none-south-5th-street-unit-c2-brooklyn-ny-11211,16,1.0,fuzzy
none-170-north-11th-street-unit-3a-brooklyn-ny-11211,2549,1.0,exact
none-171-north-1st-street-unit-1a-brooklyn-ny-11211,45,1.0,exact
none-171-north-1st-street-unit-6d-brooklyn-ny-11211,45,1.0,exact
none-jackson-street-unit-3b-brooklyn-ny-11211-0,22,1.0,fuzzy
none-224-north-6th-street-unit-3-brooklyn-ny-11211-0,41,1.0,fuzzy
none-240-powers-street-unit-6-brooklyn-ny-11211-0,593,1.0,exact
none-739-grand-street-none-brooklyn-ny-11211-0,9405,1.0,exact
none-maspeth-avenue-unit-7c-brooklyn-ny-11211,6,1.0,fuzzy
none-18-orient-avenue-none-brooklyn-ny-11211-0,100,1.0,fuzzy
none-532-lorimer-street-unit-1b-williamsburg-ny-11211-0,4391,1.0,exact
none-230-south-2nd-street-none-williamsburg-ny-11211-0,9922,1.0,exact
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211-0,22585,1.0,exact
none-manhattan-avenue-unit-4f-brooklyn-ny-11211-0,152,1.0,fuzzy
none-skillman-avenue-unit-3-brooklyn-ny-11211-0,78,1.0,fuzzy
none-jackson-street-unit-ph-brooklyn-ny-11211-0,22,1.0,fuzzy
none-230-south-2nd-street-none-brooklyn-ny-11211-0,9922,1.0,exact
none-north-8th-street-unit-ph-brooklyn-ny-11211-0,94,1.0,fuzzy
none-153-south-4th-street-unit-5-brooklyn-ny-11211,6796,1.0,exact
none-74-jackson-street-unit-3-brooklyn-ny-11211,22,1.0,fuzzy
none-devoe-street-unit-2r-brooklyn-ny-11211-0,64,1.0,fuzzy
none-lorimer-street-unit-1-brooklyn-ny-11211,170,1.0,fuzzy
none-skillman-avenue-unit-3b-brooklyn-ny-11211,78,1.0,fuzzy
none-229-withers-street-unit-2a-brooklyn-ny-11211,195,1.0,fuzzy
none-division-avenue-unit-16-brooklyn-ny-11211-0,1,1.0,fuzzy
none-havemeyer-street-unit-6a-brooklyn-ny-11211-0,24,1.0,fuzzy
none-329-grand-street-none-brooklyn-ny-11211-0,1282,1.0,exact
none-183-south-2nd-street-none-brooklyn-ny-11211-0,28,1.0,fuzzy
none-452-graham-avenue-none-brooklyn-ny-11211,10259,1.0,exact
none-north-11th-street-unit-4w-brooklyn-ny-11211-0,222,1.0,fuzzy
none-grand-street-none-brooklyn-ny-11211-0,10,1.0,fuzzy
none-74-jackson-street-unit-2-brooklyn-ny-11211,22,1.0,fuzzy
none-150-richardson-street-unit-2a-brooklyn-ny-11211,5304,1.0,exact
none-30-bushwick-avenue-unit-3b-brooklyn-ny-11211,128,1.0,fuzzy
none-179-jackson-street-unit-3a-brooklyn-ny-11211,17426,1.0,exact
